max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
270, 1913, 662, 1253, 1000
738, 400, 573, 1328, 1000
2873, 505, 1327, 1580, 1000
521, 325, 1281, 811, 1000
732, 1507, 697, 868, 1000
2362, 1276, 533, 2015, 1000
483, 285, 992, 702, 1000
1407, 196, 2387, 1555, 1000
922, 1311, 559, 761, 1000
840, 275, 839, 1758, 1000
501, 486, 421, 1423, 1000
195, 658, 662, 800, 1000
577, 317, 2405, 930, 1000
1383, 1263, 1418, 499, 1000
123, 2209, 217, 968, 1000
165, 1203, 245, 679, 1000
1075, 992, 1073, 146, 1000
1521, 655, 1411, 1196, 1000
183, 654, 947, 370, 1000
265, 525, 943, 837, 1000
717, 361, 526, 616, 1000
2, 225, 315, 1338, 1000
988, 1830, 1464, 1149, 1000
199, 510, 1435, 749, 1000
975, 515, 965, 2631, 1000
147, 346, 1130, 783, 1000
258, 1195, 1706, 457, 1000
537, 1464, 1490, 693, 1000
2008, 105, 1084, 857, 1000
73, 1015, 1085, 422, 1000
215, 1573, 1323, 1390, 1000
554, 733, 493, 1084, 1000
2334, 2191, 434, 1361, 1000
28, 1638, 732, 427, 1000
1625, 393, 346, 807, 1000
107, 2869, 1261, 1332, 1000
455, 2909, 129, 1237, 1000
5, 210, 1205, 1629, 1000
821, 104, 435, 853, 1000
1516, 1192, 644, 1119, 1000
1341, 570, 1211, 627, 1000
486, 1170, 527, 1360, 1000
332, 1330, 1514, 543, 1000
407, 216, 899, 540, 1000
1419, 1764, 840, 1230, 1000
1631, 2224, 1258, 512, 1000
1180, 600, 1141, 765, 1000
1729, 1115, 369, 655, 1000
130, 1079, 1347, 1646, 1000
2026, 427, 2603, 921, 1000
15, 744, 1015, 585, 1000
2081, 408, 1544, 645, 1000
756, 1029, 571, 950, 1000
6, 563, 3258, 1185, 1000
1292, 524, 789, 1127, 1000
108, 591, 364, 1100, 1000
738, 1366, 1109, 1659, 1000
693, 1894, 1244, 817, 1000
1450, 1892, 1598, 1572, 1000
203, 270, 1273, 1919, 1000
505, 571, 2382, 1908, 1000
1947, 1474, 1855, 858, 1000
765, 1641, 2478, 804, 1000
8, 780, 1564, 920, 1000
1276, 675, 942, 178, 1000
2032, 1323, 537, 1459, 1000
2337, 1065, 1028, 776, 1000
4312, 282, 795, 595, 1000
1042, 1074, 2372, 1251, 1000
697, 654, 2150, 1127, 1000
662, 1169, 547, 1045, 1000
4844, 1512, 2143, 570, 1000
72, 404, 1219, 1388, 1000
579, 670, 531, 864, 1000
156, 744, 891, 1052, 1000
2151, 2095, 1328, 1210, 1000
13, 1936, 401, 921, 1000
502, 1616, 2181, 1546, 1000
791, 2234, 1490, 716, 1000
524, 525, 1439, 2360, 1000
